atom_index,element,x,y,z
0,C,0.014559460951732826,1.0996622549987103,4.064679922225694
1,C,-0.2328990687458113,0.794606037887044,2.582367584576917
2,C,-1.4449224006566004,1.6001629695158879,2.104309398106606
3,C,-1.7338003382760525,1.3649639919948964,0.6288124780128761
4,C,-1.9788466199227077,-0.12252812869319929,0.3279672205326724
5,C,-2.2477812596949054,-0.3989476327532288,-1.1773198895490957
6,C,-0.9547987108848695,-0.2543680101248848,-2.0054504495147674
7,O,0.03707048540789438,-1.1509464046207123,-1.5116224512461085
8,C,0.39760259100815715,-0.9117192624920208,-0.15085388151074522
9,C,-0.8144505971565732,-1.0153641513403566,0.8258864445618664
10,C,-0.4395409807191871,-0.7185541927290717,2.3101813249681697
11,C,0.7704046274956884,-1.5404674384233814,2.8175776308192946
12,C,0.903738604943488,-2.966568079154876,2.2669881317348186
13,C,0.8989925659404571,-3.0313731542650104,0.7267923663183755
14,O,1.4456102413544203,-1.8217997145843006,0.19502774462230596
15,O,-0.41744482941162403,-3.2812063672528367,0.21727719435432266
16,O,-1.3531388244147655,-2.364632969656669,0.8668301213924223
17,C,1.7733596019895987,-4.183339532518019,0.23913198235303848
18,O,-1.2152199266659618,-0.6192101388118255,-3.3687111377331207
19,C,-1.2831141153370638,0.40113755753557756,-4.261776899639528
20,O,-1.2117225981738124,1.5905455629826595,-3.9872162158424516
21,C,-1.5068715918652364,-0.1568526239333258,-5.646160720680354
22,C,-1.4402348570125083,0.9297810049204297,-6.713220750834526
23,C,-0.08865538329350717,1.5788312784596523,-6.852987767771171
24,O,0.12517187973339336,2.6504257754483755,-7.397022788406859
25,O,0.9338125848687876,0.841177648767425,-6.387622999973877
26,C,-3.401166249933811,0.44246247286222135,-1.7309786790595343
