file,rows,unique_snps,min_p,max_p,example_snp
GDF15_full_sig_variants.csv,81,81,1.67e-105,3.207e-08,19:18388639:T:G
SHBG_full_sig_variants.csv,8,8,2.22507e-307,4.43821e-09,17:7631360:T:C
