trait,input_file,output_file,rows,min_p
GDF15,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/ld_clumping/ld_clumped_significant_variants/GDF15_ld_clumped_variants.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/GDF15_mr_ready_clumped_sig_variants.csv,2,4.673e-57
SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/ld_clumping/ld_clumped_significant_variants/SHBG_ld_clumped_variants.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_clumped_significant_variants/SHBG_mr_ready_clumped_sig_variants.csv,1,3.54409e-11
