id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,trait,MR_OR,MR_OR_lower_95CI,MR_OR_upper_95CI,nominal_significant
sFtvLK,OMEknY,outcome,exposure,Inverse variance weighted,2.0,-0.7048549845962687,0.40821970169911187,0.08422946778448748,GDF15,0.4941802328061957,0.22202493137453455,1.099939997659183,False
D0KulX,hEfA5r,outcome,exposure,MR Egger,5.0,0.1495439757897894,0.22054932886590506,0.5463532607066552,SHBG,1.1613045389733951,0.7537212239973995,1.7892931621159485,False
D0KulX,hEfA5r,outcome,exposure,Weighted median,5.0,0.19828039351501037,0.20209641138398626,0.32653463652338327,SHBG,1.2193042308941213,0.820510498901596,1.811924173385386,False
D0KulX,hEfA5r,outcome,exposure,Inverse variance weighted,5.0,0.21641423387840014,0.2039900527451058,0.28873270474605056,SHBG,1.241616592147517,0.8324298961501018,1.8519418500294156,False
D0KulX,hEfA5r,outcome,exposure,Simple mode,5.0,0.9265193727822019,1.7481228548415821,0.624161652251948,SHBG,2.5257028306864555,0.08210130045923048,77.69882758562781,False
D0KulX,hEfA5r,outcome,exposure,Weighted mode,5.0,0.19968927530199032,2.1851889221819234,0.931581674361144,SHBG,1.221023297114005,0.016852082957389342,88.4696506577202,False
