input_file,output_file,rows,min_p,example_snp,trait
/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/significant_variants/GDF15_full_sig_variants.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/GDF15_mr_ready_sig_variants.csv,81,1.67e-105,19:18388639,GDF15
/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/significant_variants/SHBG_full_sig_variants.csv,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_ready_significant_variants/SHBG_mr_ready_sig_variants.csv,8,2.22507e-307,17:7631360,SHBG
